li2 khui1 a1i5	li2|khui1|a1.i5
ce1 siann2mih8	ce1|siann2.mih8
ce1 hue1	ce1|hue1
cit4 ciah4 siann2mih8	cit4|ciah4|siann2.mih8
cit4 ciah4	cit4|ciah4
li2 khuann3	li2|khuann3
chiu7a2	chiu7a2
li2 khuann3 cit4 chiu7a2	li2|khuann3|cit4|chiu7a2
chiu7a2	chiu7a2
ce1 siann2mih8	ce1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
ce1 i1 siann2mih8	ce1|i1|siann2.mih8
ce1 i1 siann2mih8	ce1|i1|siann2.mih8
kha1	kha1
tua7kha1po5	tua7kha1.po5
cit4 ciah4 siann2mih8	cit4|ciah4|siann2.mih8
cit4 ciah4	cit4|ciah4
ce1	ce1
chiah4iann7iann7	chiah4.iann7iann7
koo3 sinn3mia7	koo3|sinn3.mia7
ce1 siann2mih8	ce1|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
cit4 te3 siann2mih8	cit4|te3|siann2.mih8
ce1 siann2mih8	ce1|siann2.mih8
te5koo2	te5koo2
ce1 siu1im1ki1	ce1|siu1.im1.ki1
cia1	cia1
siu1im1ki1	siu1.im1.ki1
bin7kin1	bin7kin1
ce1	ce1
sann1	sann1
ce1	ce1
ce1 siann2mih8	ce1|siann2.mih8
khoo3	khoo3
ce1 siann2mih8	ce1|siann2.mih8
po3cua2	po3.cua2
cit4 ciah4 siann2mih8	cit4|ciah4|siann2.mih8
hoo2	hoo2
kam2 kiann1	kam2|kiann1
kiann1kiann1	kiann1.kiann1
ce1	ce1
kong3tioh8	kong3.tioh8
bak8ciu1	bak8ciu1
cit4 ciah4	cit4|ciah4
cit4 ciah4 sann2	cit4|ciah4|sann2
sann2mih8	sann2.mih8
ce1 e5a2	ce1|e5a2
ce1 niau2chi2a2	ce1|niau2.chi2.a2
niau2chi2	niau2.chi2
ce1 sann2	ce1|sann2
hia1 chui3khi2	hia1|chui3.khi2
chui3khi2	chui3.khi2
li2 khuann3	li2|khuann3
ce1 sann2	ce1|sann2
he1	he1
hiunn1koo1	hiunn1.koo1
hiunn1koo1	hiunn1.koo1
kong2 chut4lai5	kong2|chut4.lai5
ping2chia1	ping2.chia1
cia1 cui2	cia1|cui2
cui2	cui2
sng2cui2	sng2.cui2
sng2cui2	sng2.cui2
pue1	pue1
cui2	cui2
cui2	cui2
cui2	cui2
cui2	cui2
an3ne1	an3.ne1
soh4a2	soh4.a2
an3ne1	an3.ne1
cia1	cia1
sio1sio1	sio1.sio1
sio1sio1	sio1.sio1
hue2	hue2
thng3tioh8	thng3.tioh8
sio1sio1	sio1.sio1
ce1	ce1
ce1	ce1
he1 sann2	he1|sann2
phah4koo2	phah4.koo2
ho2ciah8	ho2.ciah8
be7bai2	be7bai2
tinn1tinn1	tinn1.tinn1
tinn1tinn1	tinn1.tinn1
an3ne1	an3.ne1
ke1nng7	ke1.nng7
ke1nng7	ke1.nng7
ho2ciah8	ho2.ciah8
ho2ciah8	ho2.ciah8
he1	he1
an3ne1	an3.ne1
thiann1bo5 puann3 ku3	thiann1.bo5|puann3|ku3
ke1nng7ko1	ke1.nng7ko1
ke1nng7ko1	ke1.nng7ko1
ce1	ce1
sio1ciu2	sio1.ciu2
sio1ciu2	sio1.ciu2
an3ne1	an3.ne1
bo5thang1	bo5thang1
si2khiau1khiau1	si2.khiau1.khiau1
si2khi3	si2.khi3
sio1phah4	sio1.phah4
lian3lue3	lian3.lue3
lian3lue3	lian3.lue3
bak8ciu1	bak8ciu1
lian3lue3 cui2 te2	lian3.lue3|cui2|te2
lian3lue3 cui2 te2	lian3.lue3|cui2|te2
kha1 that4lue3	kha1|that4.lue3
that4lue3	that4.lue3
that4lue3	that4.lue3
ce1 sann2	ce1|sann2
ce1	ce1
ce1	ce1
cun5a2	cun5a2
cun5a2	cun5a2
cun5a2	cun5a2
cun5a2	cun5a2
li2	li2
li2 ka1ling7	li2|ka1.ling7
kau2a2	kau2.a2
an3ne1	an3.ne1
ciok4	ciok4
ho2	ho2
ce1 sann2	ce1|sann2
li2 khuann3	li2|khuann3
khi3 hia1	khi3|hia1
gua2 beh4 khi3 hia1	gua2|beh4|khi3|hia1
beh4	beh4
li2 e5a2	li2|e5a2
hinn7a2	hinn7a2
hinn7a2	hinn7a2
cia1	cia1
ping2chia1	ping2.chia1
li2 kong2 ping2chia1	li2|kong2|ping2.chia1
ping2chia1	ping2.chia1
ping2chia1	ping2.chia1
he1 sann2	he1|sann2
kok0kok0ke1	kok0kok0ke1
kok0kok0ke1	kok0kok0ke1
chiu2	chiu2
chiu2	chiu2
chiu2	chiu2
chiu2	chiu2
kha1	kha1
kha1	kha1
kha1	kha1
kha1 tueh4	kha1|tueh4
kha1	kha1
kha1	kha1
tueh4	tueh4
an3ne1	an3.ne1
phinn7a2	phinn7a2
phinn7a2	phinn7a2
phinn7a2	phinn7a2
hinn7a2	hinn7a2
hinn7a2	hinn7a2
hinn7a2	hinn7a2
hia1	hia1
hinn7a2	hinn7a2
i1 giu2khi2lai5	i1|giu2.khi2.lai5
kin1cio1	kin1.cio1
li2 kong2 kin1cio1	li2|kong2|kin1.cio1
ce1 sann2	ce1|sann2
kok0kok0ke1	kok0kok0ke1
kok0kok0ke1	kok0kok0ke1
ce1 sann2	ce1|sann2
li2 khoo3 tueh4	li2|khoo3|tueh4
hia1	hia1
ce1 sann2	ce1|sann2
khoo3	khoo3
khoo3	khoo3
huah4 a1ma2	huah4|a1.ma2
a1ma2	a1.ma2
a1ma2	a1.ma2
a1ma2	a1.ma2
a1ma2 hia1	a1.ma2|hia1
a1m2	a1.m2
ho2ciah8	ho2.ciah8
ho2ciah8	ho2.ciah8
ce1 sann2	ce1|sann2
ce1	ce1
cia1	cia1
li2 tueh4	li2|tueh4
li2	li2
cia1	cia1
ce1 sann2	ce1|sann2
ce1	ce1
ce1	ce1
ce1	ce1
an3ne1	an3.ne1
an3ne1	an3.ne1
ho2	ho2
ce1 sann2	ce1|sann2
ce1	ce1
ce1	ce1
a1ma2 ce1le0	a1.ma2|ce1.le0
a1ma2	a1.ma2
sio1long3	sio1.long3
sio1long3	sio1.long3
kong3tioh8	kong3.tioh8
kong3tioh8	kong3.tioh8
oo1chenn1	oo1.chenn1
ce1 sann2	ce1|sann2
ku1	ku1
li2 kong2 ku1	li2|kong2|ku1
ce1 sann2	ce1|sann2
an3ne1	an3.ne1
ce1	ce1
ce1	ce1
ping2chia1	ping2.chia1
li2	li2
li2	li2
an3ne1	an3.ne1
an3ne1	an3.ne1
ce1 sann2	ce1|sann2
an3ne1	an3.ne1
ai3ciah8kui2	ai3.ciah8kui2
ce1	ce1
ce1	ce1
kha1	kha1
ce1	ce1
chiu2	chiu2
chiu2	chiu2
chiu2	chiu2
chiu2	chiu2
cun5a2	cun5a2
ce1	ce1
a1ma2	a1.ma2
pang3sai2	pang3.sai2
cia1	cia1
ce1 an3nua2	ce1|an3.nua2
sio1long3	sio1.long3
kong3tioh8	kong3.tioh8
kong3tioh8	kong3.tioh8
ce1	ce1
ce1 sann2	ce1|sann2
ne1ne1	ne1.ne1
li2 cai1iann2 he1 ne1ne1	li2|cai1.iann2|he1|ne1.ne1
tueh4	tueh4
he1 sann2	he1|sann2
ce1 sann2	ce1|sann2
cun5a2	cun5a2
cun5a2	cun5a2
ce1	ce1
an3ne1	an3.ne1
thau5moo1	thau5moo1
thau5moo1	thau5moo1
thau5moo1	thau5moo1
an3ne1	an3.ne1
thau5moo1	thau5moo1
li2 cai1 he1 thau5moo1	li2|cai1|he1|thau5moo1
chit4 ching1khi3	chit4|ching1.khi3
li2	li2
li2 phinn7a2	li2|phinn7a2
phinn7a2	phinn7a2
phinn7a2	phinn7a2
phinn7sai2	phinn7sai2
phinn7sai2	phinn7sai2
an3ne1	an3.ne1
phinn7sai2	phinn7sai2
li2 khoo3	li2|khoo3
tan2	tan2
kha1	kha1
li2 kha1 tueh4	li2|kha1|tueh4
cia1	cia1
ho2	ho2
cia1	cia1
cia1	cia1
uat8kue3lai5	uat8kue3.lai5
uat8kue3lai5	uat8kue3.lai5
ho2	ho2
ho2	ho2
an3nua2	an3.nua2
an3na2	an3.na2
ho2	ho2
ho2	ho2
li2	li2
phah4 khui1	phah4|khui1
i1 kong2 phah4 khui1	i1|kong2|phah4|khui1
phah4 khui1	phah4|khui1
phah4 khui1	phah4|khui1
phah4 khui1	phah4|khui1
chiu2	chiu2
kong2 li2 ka1thau5moo1	kong2|li2|ka1.thau5moo1
chui3khi2	chui3.khi2
li2 chui3khi2	li2|chui3.khi2
khui1 khui1	khui1|khui1
an3ne1	an3.ne1
khui1 khui1	khui1|khui1
khui1 khui1	khui1|khui1
khui1 khui1	khui1|khui1
beh4 an3nua2	beh4|an3.nua2
mai3 ho2	mai3|ho2
mai3	mai3
mai3	mai3
beh4	beh4
beh4	beh4
beh4	beh4
an3ne1	an3.ne1
ko1ko1 li2	ko1.ko1|li2
he1 thai3	he1|thai3
ka7chui3	ka7chui3
ho2 peh4	ho2|peh4
peh4	peh4
peh4	peh4
ce1 sann2	ce1|sann2
kin1cio1	kin1.cio1
an3ne1	an3.ne1
an3ne1 kiann1kiann1	an3.ne1|kiann1.kiann1
ko1ko1	ko1.ko1
gua2	gua2
hia1	hia1
i1 kio3 i1 hia1	i1|kio3|i1|hia1
ka1to1	ka1.to1
ka1	ka1
a1kong1	a1.kong1
khi3 a1po5 hia1 ka1thau5moo1	khi3|a1.po5|hia1|ka1.thau5moo1
a1po5	a1.po5
ho2	ho2
ho2	ho2
khui1 li2 ho2	khui1|li2|ho2
ho2ciah8	ho2.ciah8
ho2ciah8	ho2.ciah8
ho2ciah8	ho2.ciah8
be7bai2	be7bai2
can2	can2
can2	can2
u7thang1 li2 can2	u7thang1|li2|can2
an3ne1	an3.ne1
e5a2 khi3	e5a2|khi3
khi3	khi3
khi3	khi3
tueh4	tueh4
hia1	hia1
ho2 khi3	ho2|khi3
kiann1kiann1	kiann1.kiann1
kiann1	kiann1
ce1 sann2	ce1|sann2
he1 sann2	he1|sann2
bak8kiann3	bak8kiann3
bak8kiann3	bak8kiann3
khoo3	khoo3
khoo3	khoo3
khoo3	khoo3
khoo3	khoo3
he1 sann2	he1|sann2
tueh4	tueh4
toh4	toh4
hia1	hia1
kha1 tueh4	kha1|tueh4
li2 kha1 tueh4	li2|kha1|tueh4
khoo3 khi3	khoo3|khi3
giu2 khah4	giu2|khah4
lim1te5	lim1.te5
ce1	ce1
sann2mih8hue3	sann2.mih8hue3
beh4 chong3 sann2	beh4|chong3|sann2
beh4 chong3 sann2	beh4|chong3|sann2
beh4 chong3 sann2	beh4|chong3|sann2
sann2mih8	sann2.mih8
an3nua2	an3.nua2
puah8puah8si2	puah8puah8si2
phah4	phah4
li2 khuann3	li2|khuann3
li2 lih4 khuann3 sann2	li2|lih4|khuann3|sann2
li2 khuann3 sann2	li2|khuann3|sann2
li2 khuann3 sann2	li2|khuann3|sann2
a1ti7	a1.ti7
a1ti7	a1.ti7
a1ti7	a1.ti7
ce1 sann2	ce1|sann2
ce1 sann2	ce1|sann2
ce1 sann2	ce1|sann2
ce1 sann2	ce1|sann2
puah8puah8si2	puah8puah8si2
sai1nai1	sai1.nai1
li2 kio3	li2|kio3
ce1 sann2	ce1|sann2
kha1	kha1
kha1 tueh4	kha1|tueh4
li2 kong2 kha1	li2|kong2|kha1
kha1	kha1
kha1	kha1
kha1	kha1
kha1	kha1
kha1	kha1
li2 khoo3	li2|khoo3
khoo3	khoo3
li2 khoo3	li2|khoo3
li2 khoo3 tueh4	li2|khoo3|tueh4
cia1	cia1
hia1	hia1
si5cing1	si5cing1
tueh4	tueh4
ce1le0	ce1.le0
li2 kong2	li2|kong2
tueh4	tueh4
oo1peh8 kong2	oo1.peh8|kong2
a1m2	a1.m2
ko1ko1	ko1.ko1
li2 kio3	li2|kio3
khoo1khoo1	khoo1.khoo1
khoo1khoo1	khoo1.khoo1
khoo1khoo1	khoo1.khoo1
khoo1khoo1	khoo1.khoo1
kok0kok0ke1	kok0kok0ke1
a1ma2 kok0kok0ke1	a1.ma2|kok0kok0ke1
li2 niau1mi1	li2|niau1.mi1
pau1	pau1
hia1	hia1
he1 koo3	he1|koo3
he1	he1
he1 cau2khi3	he1|cau2.khi3
ho2	ho2
moh4	moh4
koo3	koo3
ce1 sann2	ce1|sann2
he1 sann2	he1|sann2
ce1 sann2	ce1|sann2
hiah4	hiah4
ti1a2	ti1.a2
ho2ciah8	ho2.ciah8
ho2ciah8	ho2.ciah8
beh4	beh4
li2 kong2	li2|kong2
ho2ciah8	ho2.ciah8
bah4cang3	bah4.cang3
bah4cang3	bah4.cang3
he1 sann2	he1|sann2
ce1	ce1
an3ne1	an3.ne1
ce1	ce1
ce1 si1kue1	ce1|si1.kue1
si1kue1	si1.kue1
si1kue1	si1.kue1
si1kue1	si1.kue1
hia1	hia1
ce1 sann2	ce1|sann2
sio1sio1	sio1.sio1
ho2ciah8	ho2.ciah8
an3ne1	an3.ne1
ce1 sann2	ce1|sann2
he1 kam2 e7sai2	he1|kam2|e7sai2
e7sai2	e7sai2
li2 ho2	li2|ho2
li2 kong2 ho2	li2|kong2|ho2
li2 ho2	li2|ho2
ho2	ho2
ce1 sann2	ce1|sann2
ce1 sann2	ce1|sann2
hia1	hia1
kha1	kha1
kha1	kha1
chiu2	chiu2
chiu2 tueh4	chiu2|tueh4
ho2	ho2
ho2	ho2
he1 sann2	he1|sann2
ping2chia1	ping2.chia1
bo5khi3	bo5khi3
hue1	hue1
he1 hue1	he1|hue1
sui2sui2	sui2.sui2
ah4bi5a2	ah4.bi5a2
ah4bi5a2	ah4.bi5a2
he1 sann2	he1|sann2
cit4 tiunn1	cit4|tiunn1
cit4 tiunn1	cit4|tiunn1
cit4 tiunn1 ho2	cit4|tiunn1|ho2
he1 khuann3kue3	he1|khuann3.kue3
ho2	ho2
hian1	hian1
ce1 ho2	ce1|ho2
ce1 ho2ciah8	ce1|ho2.ciah8
ho2ciah8	ho2.ciah8
kue1	kue1
si1kue1	si1.kue1
kok0kok0ke1	kok0kok0ke1
kok0kok0ke1	kok0kok0ke1
tueh4	tueh4
hia1	hia1
kok0kok0ke1	kok0kok0ke1
khi3 kio3 a1ma2	khi3|kio3|a1.ma2
ho2	ho2
ho2	ho2
a1ma2 hia1 ho2	a1.ma2|hia1|ho2
m7bian2 koo3	m7bian2|koo3
gua2 khuann3 cia1 kok0kok0ke1	gua2|khuann3|cia1|kok0kok0ke1
cia1 kok0ke1	cia1|kok0ke1
ce1 sann2	ce1|sann2
e7hiau2 chiunn3	e7hiau2|chiunn3
kin2	kin2
chiu2	chiu2
chiu2	chiu2
ce1 sann2	ce1|sann2
li2 kong2	li2|kong2
hia1	hia1
thau5moo1	thau5moo1
li2 khuann3	li2|khuann3
ping2chia1	ping2.chia1
ping2chia1	ping2.chia1
cia1	cia1
ce1	ce1
tueh4	tueh4
beh4 khi3 ueh4	beh4|khi3|ueh4
tueh4	tueh4
be7sai2 kue3	be7sai2|kue3
be7sai2	be7sai2
be7sai2 kue3	be7sai2|kue3
khoo3	khoo3
khoo3	khoo3
kue3	kue3
li2 beh4 kue3	li2|beh4|kue3
li2	li2
ho2	ho2
kue3	kue3
be7sai2 kue3	be7sai2|kue3
be7sai2 kue3	be7sai2|kue3
kue3	kue3
siunn7beh4 kue3	siunn7beh4|kue3
gua2	gua2
he1	he1
li2 kio3	li2|kio3
li2 kio3	li2|kio3
kio3 he1	kio3|he1
li2 kio3	li2|kio3
li2 kio3	li2|kio3
a1ma2	a1.ma2
li2 kio3	li2|kio3
a1ma2	a1.ma2
kong2	kong2
pa1pa1 tueh4	pa1.pa1|tueh4
pa1pa1	pa1.pa1
cit4le0	cit4.le0
cit4le0	cit4.le0
ce1le0	ce1.le0
ce1	ce1
ce1le0	ce1.le0
pa1pa1	pa1.pa1
he1le0	he1.le0
cit4le0	cit4.le0
ce1 pa1pa1	ce1|pa1.pa1
tueh4	tueh4
ce1 a1ma2	ce1|a1.ma2
li2 kong2	li2|kong2
ce1le0	ce1.le0
he1le0	he1.le0
hia1	hia1
a1phi5	a1.phi5
a1phi5	a1.phi5
a1phi5	a1.phi5
he1 a1phi5	he1|a1.phi5
a1phi5	a1.phi5
ne1ne1	ne1.ne1
ne1ne1	ne1.ne1
ce1le0	ce1.le0
teh4 chong3 sann2	teh4|chong3|sann2
an3ne1	an3.ne1
ce1	ce1
ce1	ce1
he1 sann2	he1|sann2
chui3khi2	chui3.khi2
chui3khi2	chui3.khi2
ce1 chui3khi2	ce1|chui3.khi2
hia1 chui3khi2	hia1|chui3.khi2
chui3khi2	chui3.khi2
chui3khi2	chui3.khi2
chui3khi2	chui3.khi2
chui3khi2	chui3.khi2
chui3khi2	chui3.khi2
li2 bak8ciu1	li2|bak8ciu1
hia1	hia1
chui3khi2	chui3.khi2
ge5a2 chau3chau3	ge5a2|chau3.chau3
khu3khu3sau3	khu3.khu3.sau3
ce1 sann2	ce1|sann2
an3ne1	an3.ne1
chui3khi2	chui3.khi2
chui3khi2	chui3.khi2
an3ne1	an3.ne1
ho2ciah8	ho2.ciah8
ping1	ping1
ping1	ping1
ping1	ping1
an3ne1	an3.ne1
he1 sann2	he1|sann2
ne1ne1	ne1.ne1
kho2lian5	kho2.lian5
chui3khi2thiann3	chui3.khi2.thiann3
chui3khi2thiann3	chui3.khi2.thiann3
khok4tioh8	khok4.tioh8
khok4tioh8	khok4.tioh8
an3ne1	an3.ne1
oo1chenn1	oo1.chenn1
oo1chenn1	oo1.chenn1
ce1	ce1
he1	he1
ce1	ce1
cia1	cia1
ce1 sann2	ce1|sann2
kok0kok0ke1	kok0kok0ke1
kok0kok0ke1	kok0kok0ke1
kok0kok0ke1	kok0kok0ke1
kok0kok0ke1	kok0kok0ke1
hia1	hia1
a1ma2 kok0kok0ke1	a1.ma2|kok0kok0ke1
tueh4	tueh4
kok0kok0ke1	kok0kok0ke1
cia1	cia1
ce1 sann2	ce1|sann2
ce1	ce1
ce1	ce1
gua2 cai1	gua2|cai1
ce1	ce1
cia1	cia1
cia1	cia1
cun5a2	cun5a2
cun5a2	cun5a2
cun5a2	cun5a2
cun5a2	cun5a2
ne1ne1	ne1.ne1
ne1ne1	ne1.ne1
ne1ne1	ne1.ne1
cia1	cia1
ne1ne1	ne1.ne1
ne1ne1	ne1.ne1
li2	li2
niau1mi1	niau1.mi1
niau1mi1 tueh4	niau1.mi1|tueh4
niau1mi1	niau1.mi1
cia1	cia1
niau1mi1	niau1.mi1
cia1	cia1
li2 khuann3	li2|khuann3
li2 khuann3	li2|khuann3
li2 khuann3	li2|khuann3
he1 sann2	he1|sann2
he1 sann2	he1|sann2
khuann3bo5	khuann3.bo5
huan1beh8	huan1.beh8
ce1	ce1
li2 kong2	li2|kong2
chai3	chai3
cu2chai3	cu2.chai3
khui1 khui1	khui1|khui1
an3nua2	an3.nua2
tan2	tan2
khui1 khui1	khui1|khui1
li2 kong2	li2|kong2
khui1 khui1	khui1|khui1
te3	te3
te3	te3
te3 ho2	te3|ho2
he1 phua3khi3	he1|phua3.khi3
ho2 koh4 te3	ho2|koh4|te3
te3	te3
ho2ciah8	ho2.ciah8
ho2ciah8	ho2.ciah8
i1 an3ne1	i1|an3.ne1
chui3sai5	chui3.sai5
a1kong1 khi3 suann1	a1.kong1|khi3|suann1
khi3 suann1	khi3|suann1
li2 khuann3	li2|khuann3
li2 khuann3	li2|khuann3
giu2 hinn7a2	giu2|hinn7a2
giu2lue3	giu2.lue3
hinn7a2 tueh4	hinn7a2|tueh4
cia1	cia1
cia1	cia1
cia1	cia1
hinn7a2	hinn7a2
hinn7a2	hinn7a2
giu2lue3	giu2.lue3
giu2 hinn7a2	giu2|hinn7a2
kong3	kong3
li2 khuann3	li2|khuann3
li2 khuann3	li2|khuann3
to1a2	to1.a2
tong7lue3	tong7lue3
thiann3	thiann3
lau5hueh4	lau5hueh4
ce1	ce1
i1 bong1	i1|bong1
ce1 sann2	ce1|sann2
chiu2	chiu2
chiu2	chiu2
cia1 chiu2	cia1|chiu2
li2 chiu2	li2|chiu2
li2 chiu2	li2|chiu2
to1a2	to1.a2
sio1phah4	sio1.phah4
puah8to2	puah8to2
ce1 peh4 lau5thui1	ce1|peh4|lau5thui1
peh4 lau5thui1	peh4|lau5thui1
an3na2	an3.na2
an3na2	an3.na2
an3na2	an3.na2
that4lue3	that4.lue3
kha1 that4lue3	kha1|that4.lue3
khian1lue3	khian1.lue3
cia1	cia1
bua9kin2	bua9kin2
cia1 cui2	cia1|cui2
cia1 cui2	cia1|cui2
sng2cui2	sng2.cui2
hu1hu1	hu1.hu1
hu1hu1	hu1.hu1
hu1hu1	hu1.hu1
hu1hu1	hu1.hu1
hu1	hu1
hu1 ho2	hu1|ho2
khoo1khoo1	khoo1.khoo1
gua2	gua2
he1 lai7te2 khoo1khoo1	he1|lai7te2|khoo1.khoo1
sui2	sui2
sui2	sui2
kuai1	kuai1
kuai1	kuai1
bo5ai3	bo5ai3
bo5ai3	bo5ai3
li2 khuann3	li2|khuann3
kiann1kiann1	kiann1.kiann1
kiann1kiann1	kiann1.kiann1
li2 phah4	li2|phah4
he1 a1i5	he1|a1.i5
a1i5	a1.i5
a1i5	a1.i5
cun5a2	cun5a2
cun5a2	cun5a2
cun5a2	cun5a2
he1 kam2 khoo1khoo1	he1|kam2|khoo1.khoo1
khoo1khoo1	khoo1.khoo1
li2 cai1iann2 khoo1khoo1	li2|cai1.iann2|khoo1.khoo1
kam2	kam2
khoo1khoo1	khoo1.khoo1
chiu2 theh8lue3	chiu2|theh8lue3
khoo1khoo1	khoo1.khoo1
cit8pah4	cit8pah4
nng7pah4	nng7pah4
nng7pah4	nng7pah4
cit8pah4	cit8pah4
nng7pah4	nng7pah4
khoo1khoo1 beh4 chong3 sann2	khoo1.khoo1|beh4|chong3|sann2
he1 phinn7khang1	he1|phinn7khang1
phinn7khang1	phinn7khang1
he1 phinn7sai2	he1|phinn7sai2
kha1	kha1
kha1 tueh4	kha1|tueh4
kha1	kha1
kha1	kha1
chiu2	chiu2
chiu2 tueh4	chiu2|tueh4
chiu2	chiu2
chiu2	chiu2
chiu2 cia1	chiu2|cia1
kiann1kiann1	kiann1.kiann1
kiann1kiann1	kiann1.kiann1
kiann1kiann1	kiann1.kiann1
kiann1	kiann1
kiann1	kiann1
phah4	phah4
khoo1khoo1	khoo1.khoo1
khoo1khoo1 lok4lue3	khoo1.khoo1|lok4.lue3
khoo1khoo1 lok4lue3	khoo1.khoo1|lok4.lue3
khoo1khoo1	khoo1.khoo1
an3ne1	an3.ne1
cit8pah4	cit8pah4
nng7pah4	nng7pah4
cit8pah4	cit8pah4
cit8pah4	cit8pah4
tiunn1 ah4 tiunn1	tiunn1|ah4|tiunn1
tiunn1	tiunn1
i1 kong2	i1|kong2
bo5ai3	bo5ai3
bo5ai3	bo5ai3
be7sai2	be7sai2
kio3	kio3
a2 iu7a2	a2|iu7a2
an3ne1	an3.ne1
beh4 khuann3 he1	beh4|khuann3|he1
phainn2khi3	phainn2.khi3
m7bian2	m7bian2
bian2	bian2
lan2 tau1	lan2|tau1
sua1a2	sua1.a2
sua1a2	sua1.a2
ce1	ce1
li2 kong2 sann2	li2|kong2|sann2
li2 kong2	li2|kong2
gin2a2	gin2.a2
li2 kong2	li2|kong2
ciunn1ci5	ciunn1.ci5
ce1 sann2	ce1|sann2
ce1 sann2	ce1|sann2
phah4 si2	phah4|si2
phah4 si2	phah4|si2
sio1phah4	sio1.phah4
sio1phah4	sio1.phah4
hi5a2	hi5a2
cu2chai3	cu2.chai3
ho2	ho2
cu2	cu2
cu2	cu2
an3ne1	an3.ne1
pai3pai3	pai3.pai3
pai3pai3	pai3.pai3
chiu2	chiu2
chiu2	chiu2
ho2ciah8	ho2.ciah8
li2 cai1iann2	li2|cai1.iann2
thiann1bo5	thiann1.bo5
ce1	ce1
li2	li2
siunn1 phainn2	siunn1|phainn2
kong2liau2	kong2.liau2
kong2liau2	kong2.liau2
li2 beh4 khuann3	li2|beh4|khuann3
hia1	hia1
hia1	hia1
li2	li2
ce1 sann2	ce1|sann2
ho2ciah8	ho2.ciah8
ce1 sann2	ce1|sann2
li2 khuann3	li2|khuann3
li2 khuann3	li2|khuann3
khu3khu3sau3	khu3.khu3.sau3
cia1	cia1
ai3 khoo3	ai3|khoo3
i1 ching7sann1	i1|ching7sann1
i1 ching7sann1	i1|ching7sann1
ching7sann1	ching7sann1
ce7khi3 a1ma2 ho2	ce7khi3|a1.ma2|ho2
ce1 sann2	ce1|sann2
ling5ging2	ling5ging2
ling5ging2	ling5ging2
ling5ging2	ling5ging2
ce1	ce1
ce1 nai7ci1	ce1|nai7ci1
nai7ci1	nai7ci1
ce1	ce1
bok8kue1	bok8kue1
bok8kue1	bok8kue1
ce1	ce1
ce1 a1ma2 cing3	ce1|a1.ma2|cing3
ce1 li2	ce1|li2
ce1 a1ma2 cing3	ce1|a1.ma2|cing3
liu2ting1	liu2.ting1
ce1 kam1a2	ce1|kam1.a2
kam1a2	kam1.a2
pat8a2	pat8a2
liu2ting1	liu2.ting1
liu2ting1	liu2.ting1
beh4 cu3sia7	beh4|cu3.sia7
cu3sia7	cu3.sia7
kiann1 ioh8a2	kiann1|ioh8a2
ioh8a2 khoo2khoo2	ioh8a2|khoo2.khoo2
kiann1 ioh8a2	kiann1|ioh8a2
hinn7a2	hinn7a2
hinn7a2	hinn7a2
khui1	khui1
li2	li2
thiann1	thiann1
khui1	khui1
cai1	cai1
kue3lai5	kue3.lai5
phainn2phainn2	phainn2.phainn2
cin1 phainn2	cin1|phainn2
siunn1 phainn2	siunn1|phainn2
siunn1 phainn2	siunn1|phainn2
ce1	ce1
ce1	ce1
pa1pa1	pa1.pa1
ce1 be2	ce1|be2
a1kong1 be2	a1.kong1|be2
beh4	beh4
beh4	beh4
li2 kong2	li2|kong2
ce1	ce1
kuai1	kuai1
li2 ciah8pa2	li2|ciah8pa2
ciah8pa2	ciah8pa2
li2 ciah8pa2	li2|ciah8pa2
ko1ko1	ko1.ko1
ko1ko1	ko1.ko1
ce1le0	ce1.le0
bang2a2 li2 ting3	bang2.a2|li2|ting3
bang2a2 li2 ting3	bang2.a2|li2|ting3
ce1	ce1
he1 ko1ko1	he1|ko1.ko1
cit4le0	cit4.le0
cia1	cia1
cia1	cia1
hia1 pa1pa1	hia1|pa1.pa1
pa1pa1 tueh4	pa1.pa1|tueh4
pa1pa1	pa1.pa1
pa1pa1 tueh4	pa1.pa1|tueh4
pa1pa1 tueh4	pa1.pa1|tueh4
li2 khuann3mai7	li2|khuann3.mai7
pa1pa1 tueh4	pa1.pa1|tueh4
hia1	hia1
tueh4	tueh4
li2 pi2 khuann3	li2|pi2|khuann3
tueh4	tueh4
tueh4	tueh4
ko1ko1 tueh4	ko1.ko1|tueh4
cia1 ko1ko1	cia1|ko1.ko1
toh4	toh4
tueh4	tueh4
cia1	cia1
cia1	cia1
ce1le0	ce1.le0
ce1	ce1
hia1	hia1
he1le0	he1.le0
pei4jun1e0	pei4.jun1.e0
khuann3tioh8	khuann3.tioh8
tueh4	tueh4
li2 pi2 khuann3	li2|pi2|khuann3
to2 pa1pa1	to2|pa1.pa1
i1 tih4 kong2 sann2 gua2 thiann1bo5	i1|tih4|kong2|sann2|gua2|thiann1.bo5
li2 sng2 sua1a2	li2|sng2|sua1.a2
li2 sng2 sua1a2	li2|sng2|sua1.a2
kuai1	kuai1
he1	he1
he1	he1
he1le0	he1.le0
he1	he1
kam2	kam2
he1 sann2	he1|sann2
hinn7a2	hinn7a2
hinn7a2	hinn7a2
hinn7a2	hinn7a2
hinn7a2	hinn7a2
thau5moo1	thau5moo1
thau5moo1	thau5moo1
hia1	hia1
