为什么 是 五 号	为.什.么.是.五.号
你 应该 说 什么	你.应.该.说.什.么
不 是 妈妈 好 嘛	不.是.妈.妈.好.嘛
玛丽 阿姨 给 你 开 门	玛.丽.阿.姨.给.你.开.门
你 怎么 说 妈妈 好	你.怎.么.说.妈.妈.好
你 应该 说 什么	你.应.该.说.什.么
不 对	不.对
不 对 你 开 玩 笑	不.对.你.开.玩.笑
不 是 蒋 阿姨 开 的	不.是.蒋.阿.姨.开.的
玛丽 阿姨 开 的	玛.丽.阿.姨.开.的
那 你 应该 跟 玛丽 阿姨 说 什么	那.你.应.该.跟.玛.丽.阿.姨.说.什.么
不 好	不.好
哎 乖乖	哎.乖.乖
就是 这样	就.是.这.样
要 谢谢 玛丽 阿姨	要.谢.谢.玛.丽.阿.姨
啊	啊
坐 着 抱 好	坐.着.抱.好
哎哟 我 的 天	哎.哟.我.的.天
坐 着 抱 啦	坐.着.抱.啦
还有 一 件 事	还.有.一.件.事
灌 药	灌.药
好不好	好.不.好
嗯	嗯
不 用 灌 药 嘛	不.用.灌.药.嘛
灌 药 好玩	灌.药.好.玩
灌 药 好玩	灌.药.好.玩
你 这样 捏 鼻子	你.这.样.捏.鼻.子
吞 下去 没有	吞.下.去.没.有
啊	啊
吞 下去 就 不 灌 了	吞.下.去.就.不.灌.了
吞 下去 起来 拍 怕	吞.下.去.起.来.拍.怕
不 要 看 电视	不.要.看.电.视
跟 我 玩	跟.我.玩
你 看 电视 就 不 是 小 妹妹 了	你.看.电.视.就.不.是.小.妹.妹.了
啊	啊
电视 不 好看	电.视.不.好.看
看看 他们 在 干 什么	看.看.他.们.在.干.什.么
弄 什么 东西 啊	弄.什.么.东.西.啊
那 是 爸爸 挡 住 你 了 对不对	那.是.爸.爸.挡.住.你.了.对.不.对
你 想 办法 叫 他 让开	你.想.办.法.叫.他.让.开
谁 让开 呀	谁.让.开.呀
那 你 好好 的 去 跟 他 说	那.你.好.好.的.去.跟.他.说
没 挡 住 好 呀	没.挡.住.好.呀
没 挡 住 你 就 可以 看 啦	没.挡.住.你.就.可.以.看.啦
哎 你 为什么 要 他 挡 住 啊	哎.你.为.什.么.要.他.挡.住.啊
挡 住 你 就 看 不 见 了	挡.住.你.就.看.不.见.了
噢	噢
那 你 求求 我	那.你.求.求.我
那 还 不 够	那.还.不.够
你 还 得 亲 我	你.还.得.亲.我
嘴巴 粘粘 的	嘴.巴.粘.粘.的
等 一下 洗澡 的 时候 你 好好 洗 一 洗 鼻子 跟 嘴巴	等.一.下.洗.澡.的.时.候.你.好.好.洗.一.洗.鼻.子.跟.嘴.巴
好看 得到 了 吧	好.看.得.到.了.吧
啊	啊
看 不 懂 是 吗	看.不.懂.是.吗
我 早就 知道 你 看 不 懂	我.早.就.知.道.你.看.不.懂
刚才 玛丽 阿姨 也 说 你 看 不 懂	刚.才.玛.丽.阿.姨.也.说.你.看.不.懂
那 你 还 看	那.你.还.看
不 会 哭	不.会.哭
像 妹妹 会 讲话 不 会 哭	像.妹.妹.会.讲.话.不.会.哭
不 会 她 不 会 哭	不.会.她.不.会.哭
小 妹妹 会 讲话 的 不 会 哭	小.妹.妹.会.讲.话.的.不.会.哭
会 讲话	会.讲.话
那 是 因为 你 去 的 时候 她 不 想 讲	那.是.因.为.你.去.的.时.候.她.不.想.讲
她 到 我们 家 你 也 不 讲 啊	她.到.我.们.家.你.也.不.讲.啊
那 你 还是 讲	那.你.还.是.讲
你 已经 长大 了	你.已.经.长.大.了
你 讲 给 她 听	你.讲.给.她.听
嗯	嗯
为什么	为.什.么
什么 东西 呀	什.么.东.西.呀
不 要	不.要
小 妹妹 不 会 这样 抓 麦克风	小.妹.妹.不.会.这.样.抓.麦.克.风
小 妹妹 会 跟 妈妈 讲话	小.妹.妹.会.跟.妈.妈.讲.话
嗯	嗯
喝 牛奶 是 真的 还是 假 的	喝.牛.奶.是.真.的.还.是.假.的
真的 喝 牛奶 吗	真.的.喝.牛.奶.吗
肚子 饿 了 是 不是	肚.子.饿.了.是.不.是
等 一下 在 喝 好不好	等.一.下.在.喝.好.不.好
等 一下	等.一.下
真的 要 喝 吗	真.的.要.喝.吗
小 妹妹 不 会 哭 啦	小.妹.妹.不.会.哭.啦
不 是 小 妹妹 哭 是 妈妈 不 抱 的 时候 才 哭	不.是.小.妹.妹.哭.是.妈.妈.不.抱.的.时.候.才.哭
妈妈 抱 着 就 会 跟 妈妈 讲话	妈.妈.抱.着.就.会.跟.妈.妈.讲.话
哦 现在 我 不 抱 你 哭 啊	哦.现.在.我.不.抱.你.哭.啊
哭 不 好听 啊	哭.不.好.听.啊
我 想 抱 你 对不对	我.想.抱.你.对.不.对
我 抱 着 你	我.抱.着.你
你 跟 我 讲话	你.跟.我.讲.话
没关系 嘛	没.关.系.嘛
哭 不 好听	哭.不.好.听
哭哭 就 要 打 屁股	哭.哭.就.要.打.屁.股
哭 我们 就 把 这个 带子 打开 打 屁股	哭.我.们.就.把.这.个.带.子.打.开.打.屁.股
好不好	好.不.好
那 你 真的 要 吃 奶 吗	那.你.真.的.要.吃.奶.吗
放 在 这边 你 哭 啊	放.在.这.边.你.哭.啊
你 真 哭 啊	你.真.哭.啊
要 哭 多久	要.哭.多.久
哭 到 什么 时候	哭.到.什.么.时.候
什么	什.么
怎么 哭 到 电视机 后面 呢	怎.么.哭.到.电.视.机.后.面.呢
我 都 看 到 你 的 牙 嘞	我.都.看.到.你.的.牙.嘞
我 还 看 到 你 的 喉咙	我.还.看.到.你.的.喉.咙
说 啊	说.啊
发炎 啦	发.炎.啦
可以 打针	可.以.打.针
不 对	不.对
不 能 真的 哭 啊	不.能.真.的.哭.啊
不 是 在 玩 吗	不.是.在.玩.吗
不 要 烦	不.要.烦
那 玩玩 你 就 不 高兴 了	那.玩.玩.你.就.不.高.兴.了
那 我 走 了 好 了	那.我.走.了.好.了
不 想 和 我 玩 了 对不对	不.想.和.我.玩.了.对.不.对
又 要 怎么样 抱	又.要.怎.么.样.抱
怎么 抱	怎.么.抱
啊	啊
倒 一 头 抱 啊	倒.一.头.抱.啊
头 在 下面 那样 抱 啊	头.在.下.面.那.样.抱.啊
这样 的	这.样.的
这 样子	这.样.子
啊	啊
什么	什.么
像 刚才 那样 啊	像.刚.才.那.样.啊
啊	啊
我 弄 你 下去 啊	我.弄.你.下.去.啊
好玩 呐	好.玩.呐
还 要 吗	还.要.吗
那样 舒服 吗	那.样.舒.服.吗
好玩 吧	好.玩.吧
好玩 啊	好.玩.啊
那 你 等 会 要 乖乖 的 吃 一点 东西 哦	那.你.等.会.要.乖.乖.的.吃.一.点.东.西.哦
不 行 已经 太 累 了 受不了	不.行.已.经.太.累.了.受.不.了
不 能 玩	不.能.玩
啊	啊
他 是 盖 房子 的 人 呐	他.是.盖.房.子.的.人.呐
他 用 什么 东西 盖 房子	他.用.什.么.东.西.盖.房.子
水泥 在 哪里	水.泥.在.哪.里
我 没有 看 到	我.没.有.看.到
哦 那 他 有 没有 挖土机 啊	哦.那.他.有.没.有.挖.土.机.啊
在 哪里	在.哪.里
这 是 挖土机 啊	这.是.挖.土.机.啊
他 的 房子 在 哪里 啊	他.的.房.子.在.哪.里.啊
给 谁 住 的	给.谁.住.的
给 我 住 啊	给.我.住.啊
那 你 呢	那.你.呢
那 你 刚才 跟 我 讲 盖 房子 干 什么 呢	那.你.刚.才.跟.我.讲.盖.房.子.干.什.么.呢
我们 玩 另外 一 种 好不好	我.们.玩.另.外.一.种.好.不.好
玩 这个	玩.这.个
这样 直 起来 的	这.样.直.起.来.的
啊	啊
什么 叫 毕 叔叔	什.么.叫.毕.叔.叔
毕 叔叔	毕.叔.叔
哦 对 毕 叔叔	哦.对.毕.叔.叔
其实 这样 挺 一 二 三	其.实.这.样.挺.一.二.三
哎哟 我 的 天	哎.哟.我.的.天
太 重 了	太.重.了
你 先 讲 个 故事 给 我 听 我 就 玩	你.先.讲.个.故.事.给.我.听.我.就.玩
讲 那个 小 天使 的 故事	讲.那.个.小.天.使.的.故.事
对 呀	对.呀
哦	哦
谁 哭 了	谁.哭.了
那 怎 么 办 呢	那.怎.么.办.呢
哦	哦
它 妈妈 来 了 以后 呢	它.妈.妈.来.了.以.后.呢
谁 跑 掉 了	谁.跑.掉.了
还 没有 完	还.没.有.完
后来 大 野 狼 还 想 爬 啊	后.来.大.野.狼.还.想.爬.啊
哎 那 结果 呢	哎.那.结.果.呢
然后 呢	然.后.呢
嘿嘿	嘿.嘿
野 狼 汤 后来 呢	野.狼.汤.后.来.呢
骨头 呢	骨.头.呢
啊	啊
吐 到 哪里	吐.到.哪.里
哦	哦
那 这个 不 是 小 天使 的 故事	那.这.个.不.是.小.天.使.的.故.事
这 是 三 只 小 猪 的 故事 嘛	这.是.三.只.小.猪.的.故.事.嘛
你 还 要 讲 那个 三 只 熊 的 故事	你.还.要.讲.那.个.三.只.熊.的.故.事
那个 鹿 鹿 的 故事 给 我 听	那.个.鹿.鹿.的.故.事.给.我.听
记 不 记得	记.不.记.得
三 只 熊 的 故事 啊	三.只.熊.的.故.事.啊
鹿鹿 到 森林 里面 去 啊	鹿.鹿.到.森.林.里.面.去.啊
那个 你 讲 给 我 听	那.个.你.讲.给.我.听
不 是 你 讲 给 我 听	不.是.你.讲.给.我.听
我 就 给 你 弄	我.就.给.你.弄
会 嘛 你 以前 讲 给 我 听 过	会.嘛.你.以.前.讲.给.我.听.过
结果 呢	结.果.呢
嘿嘿 嘿	嘿.嘿.嘿
又 不 是 无 敌 铁 金刚	又.不.是.无.敌.铁.金.刚
后来 呢	后.来.呢
谁 跑 掉 了	谁.跑.掉.了
后来 呢	后.来.呢
爬 烟囱 啊	爬.烟.囱.啊
结果 呢	结.果.呢
烫 死 了	烫.死.了
变成 什么 了	变.成.什.么.了
哈哈	哈.哈
变成 肉 酱	变.成.肉.酱
还有 什么 呢	还.有.什.么.呢
没有 啦	没.有.啦
啊	啊
这 是 葡萄	这.是.葡.萄
不 想 吃	不.想.吃
我 在 跟 你 玩 三 次	我.在.跟.你.玩.三.次
然后 你 还 要 讲 一 个 故事 给 我 听	然.后.你.还.要.讲.一.个.故.事.给.我.听
比方 你 可以 讲 今天 你 跟 婆婆 到 哪里 去 啦	比.方.你.可.以.讲.今.天.你.跟.婆.婆.到.哪.里.去.啦
做 什么 车 什么 给 我 听 好不好	做.什.么.车.什.么.给.我.听.好.不.好
我 在 给 你 弄 三 次	我.在.给.你.弄.三.次
然后 你 在 讲 给 我 听	然.后.你.在.讲.给.我.听
三 次	三.次
不 是	不.是
这 是 十 次	这.是.十.次
不 行 三 次	不.行.三.次
三 次 讲 一 个 故事	三.次.讲.一.个.故.事
对	对
这 是 两 次	这.是.两.次
两 次 就 好 啦	两.次.就.好.啦
到 两 次 就 讲 一 个 故事 是 不是	到.两.次.就.讲.一.个.故.事.是.不.是
好	好
再 一 次 就 两 次 了 噢	再.一.次.就.两.次.了.噢
再 来	再.来
不 是 你 刚才 说 两 次 嘛	不.是.你.刚.才.说.两.次.嘛
好	好
两 次	两.次
好 再 一 次 啊	好.再.一.次.啊
讲 一 个 故事	讲.一.个.故.事
讲 那个 鹿 鹿 跟 三 只 熊 的 故事	讲.那.个.鹿.鹿.跟.三.只.熊.的.故.事
还有 呢	还.有.呢
你 没 讲 完	你.没.讲.完
我 还 等 着 给 你 倒 呢	我.还.等.着.给.你.倒.呢
我 放弃 了	我.放.弃.了
那 你 想 一 个	那.你.想.一.个
忘 了 没关系 你 可以 讲 另外 一 个	忘.了.没.关.系.你.可.以.讲.另.外.一.个
乖 宝宝	乖.宝.宝
你 还 没 讲 呢	你.还.没.讲.呢
你 再 讲	你.再.讲
我 再 给 你 倒 点	我.再.给.你.倒.点
你 在 讲 一 个 乖 宝宝 或者 不 要 宝宝 的 故事	你.在.讲.一.个.乖.宝.宝.或.者.不.要.宝.宝.的.故.事
我 再 给 你 倒 两 次	我.再.给.你.倒.两.次
不 要 你 就 没有 了	不.要.你.就.没.有.了
就 不 倒 了	就.不.倒.了
